"Period","Date","Open","High","Low","Close","Volume","Currency"
"92","1/6/2022","3.842","3.931","3.801","3.812","116579","USD"
"93","1/7/2022","3.86","3.98","3.8","3.916","127012","USD"
"94","1/10/2022","4.144","4.213","3.977","4.079","177628","USD"
"95","1/11/2022","4.119","4.261","4.007","4.249","121623","USD"
"96","1/12/2022","4.225","4.879","4.186","4.857","217499","USD"
"97","1/13/2022","4.791","4.844","4.245","4.27","221612","USD"
"98","1/14/2022","4.263","4.305","4.097","4.262","108856","USD"
"99","1/16/2022","4.338","4.35","4.323","4.335","0","USD"
"100","1/17/2022","4.33","4.353","4.216","4.276","0","USD"
"101","1/18/2022","4.356","4.39","4.216","4.283","119454","USD"
"102","1/19/2022","4.327","4.385","4.01","4.031","116542","USD"
"103","1/20/2022","4.015","4.037","3.781","3.802","104199","USD"
"104","1/21/2022","3.838","4.044","3.833","3.999","70256","USD"
"105","1/24/2022","3.915","4.068","3.876","4.027","47100","USD"
"106","1/25/2022","3.959","4.079","3.889","4.053","23443","USD"
"107","1/26/2022","4.04","4.39","4.011","4.277","44321","USD"
"108","1/27/2022","4","4.42","3.99","4.283","7182","USD"
"109","1/28/2022","4.342","4.876","4.286","4.639","263418","USD"
"110","1/31/2022","4.867","5.057","4.695","4.874","156746","USD"
"111","2/1/2022","4.921","4.974","4.62","4.751","140785","USD"
"112","2/2/2022","4.893","5.572","4.857","5.501","305898","USD"
"113","2/3/2022","5.42","5.454","4.816","4.888","205841","USD"
"114","2/4/2022","4.929","5.087","4.487","4.572","152119","USD"
"115","2/7/2022","4.384","4.468","4.12","4.232","192859","USD"
"116","2/8/2022","4.276","4.381","4.173","4.248","154444","USD"
"117","2/9/2022","4.211","4.259","3.983","4.009","154599","USD"
"118","2/10/2022","4.035","4.068","3.882","3.959","141740","USD"
"119","2/11/2022","3.944","4.056","3.876","3.941","177373","USD"
"120","2/14/2022","4.103","4.229","4.04","4.195","121204","USD"
"121","2/15/2022","4.183","4.428","4.157","4.306","141954","USD"
"122","2/16/2022","4.393","4.74","4.37","4.717","155480","USD"
"123","2/17/2022","4.642","4.793","4.402","4.486","117789","USD"
"124","2/18/2022","4.517","4.654","4.371","4.431","73219","USD"
"125","2/20/2022","4.529","4.598","4.527","4.579","0","USD"
"126","2/21/2022","4.58","4.745","4.52","4.705","0","USD"
"127","2/22/2022","4.594","4.861","4.448","4.498","42641","USD"
"128","2/23/2022","4.504","4.704","4.452","4.623","47180","USD"
"129","2/24/2022","4.603","4.94","4.293","4.568","3540","USD"
"130","2/25/2022","4.573","4.716","4.417","4.47","114859","USD"
